,Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjVolume,divCash,splitFactor
108,108,AAPL,2015-10-28 00:00:00+00:00,119.27,119.3,116.06,116.93,85551352,110.4065197,85551352,0.0,1.0
109,109,AAPL,2015-10-29 00:00:00+00:00,120.53,120.69,118.27,118.7,51227334,111.5728835,51227334,0.0,1.0
110,110,AAPL,2015-10-30 00:00:00+00:00,119.5,121.22,119.45,120.99,49365254,110.6194274,49365254,0.0,1.0
111,111,AAPL,2015-11-02 00:00:00+00:00,121.18,121.36,119.61,119.87,32203267,112.1745792,32203267,0.0,1.0
112,112,AAPL,2015-11-03 00:00:00+00:00,122.57,123.49,120.7,120.79,45518976,113.4612821,45518976,0.0,1.0
113,113,AAPL,2015-11-04 00:00:00+00:00,122.0,123.82,121.62,123.13,44886050,112.9336413,44886050,0.0,1.0
114,114,AAPL,2015-11-05 00:00:00+00:00,120.92,122.69,120.18,121.85,39552680,112.4152574,39552680,0.52,1.0
115,115,AAPL,2015-11-06 00:00:00+00:00,121.06,121.81,120.62,121.11,33042283,112.5454107,33042283,0.0,1.0
116,116,AAPL,2015-11-09 00:00:00+00:00,120.57,121.81,120.05,120.96,33871405,112.0898742,33871405,0.0,1.0
117,117,AAPL,2015-11-10 00:00:00+00:00,116.77,118.07,116.061,116.9,59127931,108.557142,59127931,0.0,1.0
118,118,AAPL,2015-11-11 00:00:00+00:00,116.11,117.42,115.21,116.37,45217971,107.9435622,45217971,0.0,1.0
119,119,AAPL,2015-11-12 00:00:00+00:00,115.72,116.82,115.65,116.26,32525579,107.5809923,32525579,0.0,1.0
120,120,AAPL,2015-11-13 00:00:00+00:00,112.34,115.57,112.27,115.2,45812403,104.43872,45812403,0.0,1.0
121,121,AAPL,2015-11-16 00:00:00+00:00,114.175,114.24,111.0,111.38,38106701,106.1446577,38106701,0.0,1.0
122,122,AAPL,2015-11-17 00:00:00+00:00,113.69,115.05,113.32,114.92,27583101,105.6937696,27583101,0.0,1.0
123,123,AAPL,2015-11-18 00:00:00+00:00,117.29,117.49,115.5,115.76,46674697,109.0405685,46674697,0.0,1.0
124,124,AAPL,2015-11-19 00:00:00+00:00,118.78,119.75,116.76,117.64,43295820,110.4257714,43295820,0.0,1.0
125,125,AAPL,2015-11-20 00:00:00+00:00,119.3,119.92,118.85,119.2,34287096,110.9091979,34287096,0.0,1.0
126,126,AAPL,2015-11-23 00:00:00+00:00,117.75,119.73,117.34,119.27,32482528,109.468215,32482528,0.0,1.0
127,127,AAPL,2015-11-24 00:00:00+00:00,118.88,119.35,117.12,117.33,42803172,110.518738,42803172,0.0,1.0
128,128,AAPL,2015-11-25 00:00:00+00:00,118.03,119.23,117.92,119.21,21388308,109.7285216,21388308,0.0,1.0
129,129,AAPL,2015-11-27 00:00:00+00:00,117.81,118.41,117.6,118.29,13046445,109.523995,13046445,0.0,1.0
130,130,AAPL,2015-11-30 00:00:00+00:00,118.3,119.41,117.75,117.99,39180322,109.9795315,39180322,0.0,1.0
131,131,AAPL,2015-12-01 00:00:00+00:00,117.34,118.81,116.86,118.75,34852374,109.0870518,34852374,0.0,1.0
132,132,AAPL,2015-12-02 00:00:00+00:00,116.28,118.11,116.08,117.05,33386563,108.1016055,33386563,0.0,1.0
133,133,AAPL,2015-12-03 00:00:00+00:00,115.2,116.79,114.22,116.55,41569509,107.0975658,41569509,0.0,1.0
134,134,AAPL,2015-12-04 00:00:00+00:00,119.03,119.25,115.11,115.29,57776977,110.658188,57776977,0.0,1.0
135,135,AAPL,2015-12-07 00:00:00+00:00,118.28,119.86,117.81,118.98,32084249,109.9609382,32084249,0.0,1.0
136,136,AAPL,2015-12-08 00:00:00+00:00,118.23,118.6,116.86,117.52,34309450,109.9144549,34309450,0.0,1.0
137,137,AAPL,2015-12-09 00:00:00+00:00,115.62,117.69,115.08,117.64,46361357,107.4880256,46361357,0.0,1.0
138,138,AAPL,2015-12-10 00:00:00+00:00,116.17,116.94,115.51,116.04,29212727,107.9993422,29212727,0.0,1.0
139,139,AAPL,2015-12-11 00:00:00+00:00,113.18,115.39,112.851,115.19,46886161,105.2196397,46886161,0.0,1.0
140,140,AAPL,2015-12-14 00:00:00+00:00,112.48,112.68,109.79,112.18,65003609,104.5688732,65003609,0.0,1.0
141,141,AAPL,2015-12-15 00:00:00+00:00,110.49,112.8,110.35,111.94,53323105,102.7188372,53323105,0.0,1.0
142,142,AAPL,2015-12-16 00:00:00+00:00,111.34,111.99,108.8,111.07,56238467,103.5090536,56238467,0.0,1.0
143,143,AAPL,2015-12-17 00:00:00+00:00,108.98,112.25,108.98,112.02,44772827,101.315041,44772827,0.0,1.0
